_code,ticker,company_name,country,gics_sector,gics_industry_group,gics_industry,last_include,first_include
KYG1098A1013,9626 HK Equity,Bilibili Inc,CH,50,5020,502020,2024-05-31,2022-06-01
CNE100003NL9,688363 C1 Equity,Bloomage Biotechnology Corp Ltd,CH,35,3520,352010,2024-05-31,2022-06-01
CNE0000009B1,000415 C2 Equity,Bohai Leasing Co Ltd,CH,20,2010,201070,2020-11-30,2019-12-01
US12233L1070,BNR UQ Equity,Burning Rock Biotech Ltd,CH,35,3520,352010,2021-11-30,2021-06-01
CNE100000Y84,300146 C2 Equity,By-health Co Ltd,CH,30,3030,303020,2024-05-31,2019-12-01
CNE100000X36,002511 C2 Equity,C&S Paper Co Ltd,CH,30,3030,303010,2022-05-31,2020-06-01
CNE0000000K1,000591 C2 Equity,CECEP Solar Energy Co Ltd,CH,55,5510,551050,2024-05-31,2021-12-01
CNE100001T15,601016 C1 Equity,CECEP Wind-Power Corp,CH,55,5510,551050,2024-02-29,2021-12-01
CNE100000CM6,002268 C2 Equity,CETC Cyberspace Security Technology Co Ltd,CH,45,4510,451030,2024-02-29,2019-12-01
CNE100001T80,1816 HK Equity,CGN Power Co Ltd,CH,55,5510,551050,2024-05-31,2014-12-01
CNE100003N43,003816 C2 Equity,CGN Power Co Ltd,CH,55,5510,551050,2024-05-31,2023-12-01
KYG2140A1076,884 HK Equity,CIFI Holdings Group Co Ltd,CH,60,6020,602010,2022-11-30,2018-03-01
CNE000000TD0,000839 C2 Equity,CITIC Guoan Information Industry Co Ltd,CH,50,5020,502010,2020-05-31,2018-06-01
HK0267001375,267 HK Equity,CITIC Ltd,CH,20,2010,201050,2024-05-31,2014-03-01
CNE000001DB6,600030 C1 Equity,CITIC Securities Co Ltd,CH,40,4020,402030,2024-05-31,2018-06-01
CNE1000016V2,6030 HK Equity,CITIC Securities Co Ltd,CH,40,4020,402030,2024-05-31,2014-03-01
CNE100000114,3993 HK Equity,CMOC Group Ltd,CH,15,1510,151040,2024-05-31,2017-12-01
CNE100001NR0,603993 C1 Equity,CMOC Group Ltd,CH,15,1510,151040,2024-05-31,2018-06-01
CNE1000049X9,300919 C2 Equity,CNGR Advanced Material Co Ltd,CH,15,1510,151010,2024-05-31,2022-03-01
CNE1000005X1,002145 C2 Equity,CNNC Hua Yuan Titanium Dioxide Co Ltd,CH,15,1510,151010,2023-11-30,2021-12-01
HK0883013259,883 HK Equity,CNOOC Ltd,CH,10,1010,101020,2021-02-28,2014-03-01
CNE000000MS3,000617 C2 Equity,CNPC Capital Co Ltd,CH,40,4010,401010,2024-05-31,2023-09-01
